,State Name,Establishments,State Abbreviation
0,Alabama,353946.0,AL
1,Alaska,77598.0,AK
2,Arizona,539751.0,AZ
3,Arkansas,237603.0,AR
4,California,3614650.0,CA
5,Colorado,645582.0,CO
6,Connecticut,310086.0,CT
7,Delaware,100115.0,DE
8,District of Columbia,81097.0,
9,Florida,2227843.0,FL
10,Georgia,890713.0,GA
11,Hawaii,114256.0,HI
12,Idaho,198419.0,ID
13,Illinois,1137957.0,IL
14,Indiana,516310.0,IN
15,Iowa,290127.0,IA
16,Kansas,260859.0,KS
17,Kentucky,313003.0,KY
18,Louisiana,374360.0,LA
19,Maine,152918.0,ME
20,Maryland,495430.0,MD
21,Massachusetts,637594.0,MA
22,Michigan,787765.0,MI
23,Minnesota,538296.0,MN
24,Mississippi,205304.0,MS
25,Missouri,529080.0,MO
26,Montana,149305.0,MT
27,Nebraska,196448.0,NE
28,Nevada,257542.0,NV
29,New Hampshire,136354.0,NH
30,New Jersey,840989.0,NJ
31,New Mexico,152609.0,NM
32,New York,1959810.0,NY
33,North Carolina,864263.0,NC
34,North Dakota,87640.0,ND
35,Ohio,862831.0,OH
36,Oklahoma,331846.0,OK
37,Oregon,432662.0,OR
38,Pennsylvania,1058690.0,PA
39,Rhode Island,103624.0,RI
40,South Carolina,405304.0,SC
41,South Dakota,100055.0,SD
42,Tennessee,488314.0,TN
43,Texas,2220778.0,TX
44,Utah,325495.0,UT
45,Vermont,74900.0,VT
46,Virginia,717821.0,VA
47,Washington,713443.0,WA
48,West Virginia,119183.0,WV
49,Wisconsin,495186.0,WI
50,Wyoming,81819.0,WY
