bachelor_or_higher,State,Total employment
2046223,Alabama,2169200.0
304946,Alaska,329900.0
3410861,Arizona,3189300.0
1073573,Arkansas,1362600.0
20333085,California,18180700.0
3834558,Colorado,2914000.0
2200664,Connecticut,1695800.0
537764,Delaware,486400.0
648241,District of Columbia,780200.0
11259272,Florida,9860700.0
5216422,Georgia,4955500.0
740322,Hawaii,633400.0
842415,Idaho,862400.0
6743633,Illinois,6149400.0
2789327,Indiana,3284700.0
1435787,Iowa,1593200.0
1418723,Kansas,1454900.0
1771352,Kentucky,2022300.0
1717379,Louisiana,1973900.0
758244,Maine,656400.0
3848060,Maryland,2754400.0
4767149,Massachusetts,3793700.0
4597388,Michigan,4435500.0
3146730,Minnesota,3008700.0
995145,Mississippi,1166500.0
2803410,Missouri,3005100.0
554950,Montana,523799.99999999994
926271,Nebraska,1049500.0
1221896,Nevada,1583600.0
863094,New Hampshire,705500.0
5792623,New Jersey,4367000.0
900791,New Mexico,875800.0
11478789,New York,9732900.0
5431440,North Carolina,4951900.0
341503,North Dakota,439700.0
5331702,Ohio,5661100.0
1552877,Oklahoma,1739800.0
2249716,Oregon,2000600.0
6596301,Pennsylvania,6182700.0
636956,Rhode Island,499300.0
2447217,South Carolina,2323300.0
391863,South Dakota,470700.0
3109117,Tennessee,3310700.0
13659232,Texas,14103300.0
1583633,Utah,1727000.0
421406,Vermont,306000.0
5169839,Virginia,4157000.0
4425507,Washington,3653600.0
643336,West Virginia,712900.0
2798888,Wisconsin,3026500.0
240054,Wyoming,296500.0
1470061,Puerto Rico,956500.0
