Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Abbeville County, SC",12.649572649572649,2.215811965811966,2.4145299145299144,1.4487179487179487
"Aberdeen, SD metro area",33.19252336448598,5.680373831775701,6.0990654205607475,3.297196261682243
"Aberdeen, WA metro area",157.85882352941175,27.754445609790697,32.39454179918424,21.80907049665022
"Abilene, TX metro area",271.47172236503854,48.25835475578406,55.72365038560411,37.03213367609254
"Acadia Parish, LA",28.520793950850663,4.734404536862003,6.015122873345936,2.5387523629489603
"Accomack County, VA",59.68917576961271,10.327706057596822,10.844091360476664,4.721946375372394
"Ada, OK metro area",44.52851711026616,7.720532319391635,10.644486692015208,3.914448669201521
"Adair County, IA",7.141129032258065,1.2620967741935485,1.4233870967741935,1.0887096774193548
"Adair County, KY",10.510765550239235,1.757177033492823,1.7906698564593302,1.3779904306220097
"Adair County, MO",29.885245901639344,5.2103825136612025,5.133879781420765,2.830601092896175
"Adair County, OK",12.562945368171022,1.9691211401425177,2.6365795724465557,1.4156769596199525
"Adams County, CO",972.5347368421053,174.54526315789474,192.32,157.69263157894736
"Adams County, IA",3.227488151658768,1.0568720379146919,1.0236966824644549,1.018957345971564
"Adams County, ID",10.729088639200999,1.7215980024968789,1.9900124843945068,1.2372034956304618
"Adams County, IL",92.41312741312741,16.222651222651223,14.979407979407979,8.160875160875161
"Adams County, IN",28.30690537084399,4.819693094629156,4.8861892583120206,3.625319693094629
"Adams County, MS",26.87676056338028,4.609154929577465,4.73943661971831,2.227112676056338
"Adams County, ND",2.0606060606060606,1.0,1.0,1.0
"Adams County, NE",18.621705426356588,3.4031007751937983,3.5209302325581397,2.765891472868217
"Adams County, OH",20.8857421875,3.4541015625,4.4384765625,2.1953125
"Adams County, PA",139.91065989847715,24.62741116751269,27.069035532994924,17.951269035532995
"Adams County, WA",16.9692532942899,2.679355783308931,3.1830161054172765,1.8711566617862372
"Adams County, WI",62.4815668202765,10.824884792626728,12.786866359447005,6.292626728110599
"Addison County, VT",44.377331420373025,7.57532281205165,9.327116212338593,4.30703012912482
"Adrian, MI metro area",151.3310810810811,26.91891891891892,29.488175675675677,16.300675675675677
"Aiken County, SC",310.90200708382525,55.285714285714285,57.21605667060213,32.5926800472255
"Aitkin County, MN",42.58789289871944,7.2910360884749705,8.610011641443538,4.6961583236321305
"Akron, OH metro area",993.159,176.603,200.389,142.728
"Alachua County, FL",447.74387527839644,79.44766146993318,89.06347438752783,54.65144766146993
"Alamance County, NC",260.5185520361991,46.038914027149325,48.33212669683258,32.767420814479635
"Alameda County, CA",1525.1173333333334,273.83733333333333,312.8933333333333,259.00266666666664
"Alamogordo, NM metro area",103.2630359212051,18.339513325608344,12.818076477404404,4.676709154113557
"Alamosa County, CO",14.575027382256298,2.352683461117196,2.769989047097481,1.6297918948521357
"Albany County, NY",375.2806818181818,66.68409090909091,79.54545454545455,53.53636363636364
"Albany County, WY",46.85072951739618,8.026936026936028,7.8338945005611675,5.751964085297419
"Albany, GA metro area",14.00823723228995,2.4184514003294892,2.800658978583196,1.6210873146622735
"Albany, NY metro area",1161.0152284263959,208.30795262267344,263.8730964467005,154.751269035533
"Albany, OR metro area",203.25405405405405,35.93945945945946,40.56972972972973,28.368648648648648
"Albemarle County, VA",214.98150594451783,38.09114927344782,47.77014531043593,18.221928665786
"Albemarle, NC metro area",78.16446124763705,13.792060491493384,15.655954631379963,7.5160680529300565
"Albert Lea, MN metro area",41.892716535433074,7.161417322834645,7.8828740157480315,5.127952755905512
"Albertville, AL metro area",109.53256150506512,19.373371924746746,21.107091172214183,11.49493487698987
"Alcona County, MI",15.675937122128174,2.5417170495767833,3.0362756952841594,1.626360338573156
"Alcorn County, MS",10.697986577181208,1.8708053691275168,2.0503355704697985,1.5201342281879195
"Alexander City, AL metro area",65.45018796992481,11.324248120300751,12.885338345864662,5.6156015037593985
"Alexander County, IL",4.5326460481099655,1.041237113402062,1.3058419243986255,1.0034364261168385
"Alexander County, NC",35.03932584269663,5.935955056179775,6.371910112359551,3.8550561797752807
"Alexandria, LA metro area",7.578947368421052,1.4736842105263157,1.087719298245614,1.280701754385965
"Alexandria, MN metro area",69.17764165390506,12.058192955589586,13.496171516079633,7.658499234303216
"Alexandria, VA",301.56503496503495,53.74685314685315,59.7972027972028,47.17762237762238
"Alfalfa County, OK",1.7,1.0,1.0,1.0
"Alger County, MI",21.94984802431611,3.594224924012158,4.10790273556231,1.7735562310030395
"Alice, TX metro area",17.795986622073578,2.849498327759197,4.357859531772576,1.745819397993311
All Redfin Metros,463357.8574686431,82676.17217787914,94116.39566704675,56796.823261117446
"Allamakee County, IA",12.261306532663317,2.0787269681742044,1.95142378559464,1.5343383584589614
"Allegan County, MI",166.63307984790873,29.669201520912548,35.76996197718631,22.43916349809886
"Allegany County, MD",77.59663865546219,13.670588235294117,18.46890756302521,7.62016806722689
"Allegany County, NY",40.05550416281221,6.733580018501388,8.383903792784459,4.269195189639223
"Alleghany County, NC",24.81890812250333,4.023968042609853,4.07190412782956,2.1264980026631157
"Alleghany County, VA",15.625,2.578409090909091,2.7636363636363637,1.821590909090909
"Allegheny County, PA",1633.9237435008665,293.7937608318891,345.8526863084922,185.93240901213173
"Allen County, IN",521.7015384615385,93.10615384615384,92.24153846153847,68.00769230769231
"Allen County, KS",9.829139072847681,1.6463576158940398,1.7655629139072848,1.3629139072847682
"Allen County, KY",27.064602960969044,4.631224764468372,4.967698519515478,2.5423956931359353
"Allen County, OH",94.54143646408839,16.59889502762431,17.50828729281768,12.043093922651934
"Allen Parish, LA",6.2076502732240435,1.336976320582878,1.3151183970856102,1.1238615664845173
"Allendale County, SC",4.097035040431267,1.1482479784366577,1.0754716981132075,1.0161725067385445
"Allentown, PA metro area",1190.2291904218928,211.71721778791334,242.25427594070695,170.45496009122007
"Alma, MI metro area",44.94211822660098,7.713054187192118,8.48768472906404,4.626847290640394
"Alpena County, MI",40.06760563380282,7.043661971830986,6.936619718309859,4.847887323943662
"Alpena, MI metro area",40.22286541244573,7.034732272069465,7.014471780028944,4.826338639652677
"Alpine County, CA",10.627118644067796,1.5980629539951574,1.9031476997578693,1.1113801452784504
"Altoona, PA metro area",109.52247191011236,19.44194756554307,19.642322097378276,8.900749063670412
"Altus, OK metro area",21.515384615384615,4.1692307692307695,4.630769230769231,3.673076923076923
"Amador County, CA",72.61295971978984,12.851138353765323,15.567425569176883,7.607705779334501
"Amarillo, TX metro area",380.1618062088429,67.36406396989652,71.88523047977422,50.1618062088429
