State,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
AK,287.54105948911365,50.97844436861042,62.49359591591097,35.9793867310319
AL,191.08143316986028,33.84944167855162,35.44072978832936,20.13600326991596
AR,102.1111474873138,18.048895072843347,20.01072188574235,12.584891144213456
AZ,1362.66083747794,242.48462484624847,269.0040109096743,190.83036526017435
CA,914.2663758530922,162.8165996712923,188.15074520797006,132.06987253035274
CO,289.8640852575488,51.56579040852576,57.5516163410302,42.58344582593251
CT,798.0969770935036,142.20497103948372,172.21253396633787,95.82058432582664
DE,650.0212765957447,115.70021515658618,131.36289744202725,86.39469280420751
FL,977.7465352795489,174.40014283427155,207.66157196050872,123.671110361229
GA,101.86106553742462,17.968300910654982,20.505560517121317,11.416834557908192
HI,451.73679551490113,80.39082325169666,92.1220123930363,47.71643552670404
IA,86.88531995717283,15.352517563544096,16.443085317023804,10.8435194555668
ID,66.09244103438476,11.535606706450697,12.506109690252913,8.23421426541631
IL,343.7745464247599,61.07825992044242,73.69855438051809,45.137963190758015
IN,145.90547965132544,25.830026743652578,26.917074477214125,18.789632248365262
KS,84.7201645299556,15.03206027639495,16.70778634170719,11.197935687239317
KY,97.7471202785963,17.257280401217812,19.213182751114687,13.473613964530818
LA,131.22297734627833,23.30908845738943,26.73220064724919,14.797330097087379
MA,1007.2881111876292,179.14825825206873,210.81280211569333,149.83005421725406
MD,581.2060532687651,103.40385186233377,119.76635092334236,81.5025200415006
ME,207.46942906471395,36.65374769304042,40.60350062511163,27.92105733166637
MI,295.68909284507305,52.43998596494209,60.18605235914646,41.80406985999103
MN,196.56039711785638,34.729711370407436,38.151219819988384,28.896760541392027
MO,85.64008640806475,15.03415706245137,16.38588618543014,10.776322409083635
MS,70.04473239168234,12.40566419741324,13.007765047757426,7.129552437891528
MT,86.55134509690483,15.225592999710733,16.196702343072026,9.234017934625397
NC,219.44942924029917,38.892904326252285,42.64458110151437,26.050537804426234
ND,42.60132765531062,7.524173346693387,7.730335671342686,4.544589178356714
NE,135.91940466995425,24.1519753401816,25.83202180453896,20.662084119533024
NH,302.9206133123164,53.70455625880682,61.20296472645937,39.51656227100244
NJ,865.3206785484217,154.09942022761433,185.01030706463388,104.5907236418295
NM,112.40247611550434,19.85111103159552,21.55415608115361,13.775933016066125
NV,557.8053055977563,99.51614719665439,113.81898536584758,76.02055408826108
NY,401.49519820733076,71.3054534731581,90.75669110391964,45.05467428891803
OH,246.93598852302227,43.83534233629459,49.33874064830746,33.449293230730646
OK,178.69520489226724,31.67031697430909,35.95231546788071,24.497494820552877
OR,264.99319988506846,47.15953519874268,53.10203244146606,37.83170841529444
PA,330.5582607060846,58.73963144482138,66.88509671893019,42.228809394559356
RI,726.62361456684,129.49830355123277,151.95453517303778,100.59828093191585
SC,310.7787222576062,55.033756307873205,62.69469893684778,33.45948263191416
SD,54.38648748309911,9.717662965542672,10.517843241692956,6.747900192567706
TN,210.6718476357268,37.349987371067684,37.80921509441376,24.552259188503168
TX,218.47544086021506,38.81835048511823,46.817081701518035,29.26398993657697
UT,314.59180190974115,55.88811591984017,64.60805715153005,46.51281321733212
VA,176.338515696581,31.169411052011156,34.7054498279261,23.82398181304094
VT,89.87169506462985,15.688087544065805,18.7290687426557,9.28282902467685
WA,560.6120079539866,99.91823255106901,109.82455131675177,85.97067290480993
WI,179.88283095050662,31.746683321706627,34.81760190064028,23.37423042516708
WV,69.7943146301533,12.190355707694597,14.456317904450067,8.45482958773627
WY,62.134634247070366,10.799442465541272,10.635382788704765,6.636570130607609
