Name,2022,2023
The United States,74580,76330
Alabama,59910,61390
Alaska,89740,87490
Arizona,73450,76370
Arkansas,53980,54760
California,85300,87960
Colorado,89930,91610
Connecticut,90730,87300
Delaware,80750,74070
District of Columbia,101700,97740
Florida,65370,64410
Georgia,67730,66310
Hawaii,91010,88630
Idaho,72580,82940
Illinois,78020,85460
Indiana,70030,75690
Iowa,76320,78100
Kansas,73040,81930
Kentucky,55880,59980
Louisiana,58330,61690
Maine,75160,76710
Maryland,108200,105000
Massachusetts,93550,93340
Michigan,68990,69540
Minnesota,90390,86740
Mississippi,48610,50290
Missouri,71520,68570
Montana,72980,70090
Nebraska,78360,84220
Nevada,72330,69380
New Hampshire,84970,95800
New Jersey,92340,95490
New Mexico,56420,57650
New York,75910,78630
North Carolina,65070,67820
North Dakota,78720,74280
Ohio,67520,67600
Oklahoma,63440,64800
Oregon,86780,88260
Pennsylvania,72210,78310
Rhode Island,80650,80850
South Carolina,61770,67440
South Dakota,67180,79680
Tennessee,65380,67030
Texas,74640,72680
Utah,95800,94510
Vermont,72190,82040
Virginia,85170,86550
Washington,89430,94510
West Virginia,52460,50500
Wisconsin,73330,75420
Wyoming,73090,76620
